rowId,depAirportId,arrAirportId,airlineId,airlineName,aircraftTypes
1,2723,2726,295,Tuna Aero,Harbin Yunshuji Y12;De Havilland Canada DHC-6 Twin Otter;Pilatus Britten-Norman BN-2A/B Islander
2,2728,2720,295,Tuna Aero,Harbin Yunshuji Y12;De Havilland Canada DHC-6 Twin Otter;Pilatus Britten-Norman BN-2A/B Islander
3,2712,2723,295,Tuna Aero,Harbin Yunshuji Y12;De Havilland Canada DHC-6 Twin Otter
4,2726,2723,295,Tuna Aero,Harbin Yunshuji Y12;De Havilland Canada DHC-6 Twin Otter
5,2710,2730,295,Tuna Aero,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
6,2775,2730,295,Tuna Aero,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
7,2720,2728,295,Tuna Aero,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
8,2730,2710,295,Tuna Aero,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
9,2730,2711,295,Tuna Aero,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
10,2711,2775,295,Tuna Aero,Harbin Yunshuji Y12
11,2713,2715,295,Tuna Aero,Harbin Yunshuji Y12
12,2713,2726,295,Tuna Aero,Harbin Yunshuji Y12
13,2775,2711,295,Tuna Aero,Harbin Yunshuji Y12
14,2715,2713,295,Tuna Aero,Harbin Yunshuji Y12
15,2715,2730,295,Tuna Aero,Harbin Yunshuji Y12
16,2715,2726,295,Tuna Aero,Harbin Yunshuji Y12
17,2708,2714,295,Tuna Aero,Harbin Yunshuji Y12
18,2729,2708,295,Tuna Aero,Harbin Yunshuji Y12
19,2730,2715,295,Tuna Aero,Harbin Yunshuji Y12
20,2709,2726,295,Tuna Aero,Harbin Yunshuji Y12
21,2726,2712,295,Tuna Aero,Harbin Yunshuji Y12
22,2726,2713,295,Tuna Aero,Harbin Yunshuji Y12
23,2726,2715,295,Tuna Aero,Harbin Yunshuji Y12
24,1928,1956,338,Cranwell Flying Training Unit,Yakovlev Yak-40
25,1956,1928,338,Cranwell Flying Training Unit,Yakovlev Yak-40
26,1956,1983,338,Cranwell Flying Training Unit,Yakovlev Yak-40
27,1983,1956,338,Cranwell Flying Training Unit,Yakovlev Yak-40
28,1924,1953,195,Renan,Yakovlev Yak-42;Embraer 190
29,2128,2130,6,Voar Lda,Yakovlev Yak-42;Airbus A320
30,2130,2128,6,Voar Lda,Yakovlev Yak-42;Airbus A320
31,1886,1926,338,Cranwell Flying Training Unit,Yakovlev Yak-42
32,1956,1926,338,Cranwell Flying Training Unit,Yakovlev Yak-42
33,1968,1926,338,Cranwell Flying Training Unit,Yakovlev Yak-42
34,1926,1886,338,Cranwell Flying Training Unit,Yakovlev Yak-42
35,1926,1956,338,Cranwell Flying Training Unit,Yakovlev Yak-42
36,1926,1968,338,Cranwell Flying Training Unit,Yakovlev Yak-42
37,89,1953,195,Renan,Yakovlev Yak-42
38,1922,1953,195,Renan,Yakovlev Yak-42
39,1953,89,195,Renan,Yakovlev Yak-42
40,1953,1922,195,Renan,Yakovlev Yak-42
41,1953,1983,195,Renan,Yakovlev Yak-42
42,1983,1953,195,Renan,Yakovlev Yak-42
43,1924,1905,238,Southern Cargo Air Lines,Yakovlev Yak-42
44,1924,1916,238,Southern Cargo Air Lines,Yakovlev Yak-42
45,1905,1924,238,Southern Cargo Air Lines,Yakovlev Yak-42
46,1905,1957,238,Southern Cargo Air Lines,Yakovlev Yak-42
47,1916,1924,238,Southern Cargo Air Lines,Yakovlev Yak-42
48,1957,1905,238,Southern Cargo Air Lines,Yakovlev Yak-42
49,2127,2128,6,Voar Lda,Yakovlev Yak-42
50,2126,2128,6,Voar Lda,Yakovlev Yak-42
51,2128,2127,6,Voar Lda,Yakovlev Yak-42
52,2128,2126,6,Voar Lda,Yakovlev Yak-42
53,1923,1937,155,Regional Air,Tupolev Tu-154;Boeing 737-800
54,1937,1923,155,Regional Air,Tupolev Tu-154;Boeing 737-800
55,1938,1966,338,Cranwell Flying Training Unit,Tupolev Tu-154
56,1938,1967,338,Cranwell Flying Training Unit,Tupolev Tu-154
57,1966,1938,338,Cranwell Flying Training Unit,Tupolev Tu-154
58,1967,1938,338,Cranwell Flying Training Unit,Tupolev Tu-154
59,1924,1980,155,Regional Air,Tupolev Tu-154
60,1937,1980,155,Regional Air,Tupolev Tu-154
61,1980,1924,155,Regional Air,Tupolev Tu-154
62,1980,1937,155,Regional Air,Tupolev Tu-154
63,1234,1269,91,Nurnberger Flugdienst,Tupolev Tu-134
64,1247,1240,91,Nurnberger Flugdienst,Tupolev Tu-134
65,1923,1981,155,Regional Air,Tupolev Tu-134;Antonov AN-24
66,1981,1923,155,Regional Air,Tupolev Tu-134;Antonov AN-24
67,1915,1923,155,Regional Air,Tupolev Tu-134
68,1923,1915,155,Regional Air,Tupolev Tu-134
69,1240,1247,91,Nurnberger Flugdienst,Tupolev Tu-134
70,1268,1269,91,Nurnberger Flugdienst,Tupolev Tu-134
71,1269,1234,91,Nurnberger Flugdienst,Tupolev Tu-134
72,1269,1268,91,Nurnberger Flugdienst,Tupolev Tu-134
73,1924,1981,9,Z-Avia,Tupolev Tu-204;Boeing 767-300
74,1924,863,9,Z-Avia,Tupolev Tu-204;Boeing 747-400
75,863,1924,9,Z-Avia,Tupolev Tu-204;Boeing 747-400
76,762,798,418,Southeast Airmotive,Tupolev Tu-204;Airbus A320;Antonov An-158;Airbus A319
77,798,762,418,Southeast Airmotive,Tupolev Tu-204;Airbus A320;Antonov An-158;Airbus A319
78,1676,1469,19,Trinity Air Bahamas,Tupolev Tu-204
79,1676,670,19,Trinity Air Bahamas,Tupolev Tu-204
80,1676,1976,19,Trinity Air Bahamas,Tupolev Tu-204
81,1469,1676,19,Trinity Air Bahamas,Tupolev Tu-204
82,670,1676,19,Trinity Air Bahamas,Tupolev Tu-204
83,1976,1676,19,Trinity Air Bahamas,Tupolev Tu-204
84,2698,1924,9,Z-Avia,Tupolev Tu-204
85,1924,2698,9,Z-Avia,Tupolev Tu-204
86,2092,2094,183,Taxi de Veracruz,Aerospatiale/Alenia ATR 42-300
87,2094,2092,183,Taxi de Veracruz,Aerospatiale/Alenia ATR 42-300
88,2094,1495,183,Taxi de Veracruz,Aerospatiale/Alenia ATR 42-300
89,1495,2094,183,Taxi de Veracruz,Aerospatiale/Alenia ATR 42-300
90,1909,1981,106,Universal Airlines,Sukhoi Superjet 100-95;De Havilland Canada DHC-8-400 Dash 8Q
91,1981,1909,106,Universal Airlines,Sukhoi Superjet 100-95;De Havilland Canada DHC-8-400 Dash 8Q
92,1924,1571,391,Quest Diagnostics,Sukhoi Superjet 100-95;Boeing 737-700
93,1571,1924,391,Quest Diagnostics,Sukhoi Superjet 100-95;Boeing 737-700
94,1925,1867,50,Walsten Air Services,Sukhoi Superjet 100-95;Boeing 737
95,1925,2285,50,Walsten Air Services,Sukhoi Superjet 100-95;Airbus A320;Airbus A319
96,1945,1925,50,Walsten Air Services,Sukhoi Superjet 100-95;Airbus A320
97,1925,1933,50,Walsten Air Services,Sukhoi Superjet 100-95;Airbus A320
98,1925,1945,50,Walsten Air Services,Sukhoi Superjet 100-95;Airbus A319
99,2287,1925,50,Walsten Air Services,Sukhoi Superjet 100-95;Airbus A319
100,1925,2287,50,Walsten Air Services,Sukhoi Superjet 100-95;Airbus A319
101,1882,1924,391,Quest Diagnostics,Sukhoi Superjet 100-95
102,1882,1957,391,Quest Diagnostics,Sukhoi Superjet 100-95
103,1924,1882,391,Quest Diagnostics,Sukhoi Superjet 100-95
104,1924,1885,391,Quest Diagnostics,Sukhoi Superjet 100-95
105,1885,1924,391,Quest Diagnostics,Sukhoi Superjet 100-95
106,1957,1882,391,Quest Diagnostics,Sukhoi Superjet 100-95
107,1502,1528,344,Northwood Headquarters,Sukhoi Superjet 100-95
108,1503,1528,344,Northwood Headquarters,Sukhoi Superjet 100-95
109,1519,1528,344,Northwood Headquarters,Sukhoi Superjet 100-95
110,1528,1502,344,Northwood Headquarters,Sukhoi Superjet 100-95
111,1528,1503,344,Northwood Headquarters,Sukhoi Superjet 100-95
112,1528,1519,344,Northwood Headquarters,Sukhoi Superjet 100-95
113,1528,1529,344,Northwood Headquarters,Sukhoi Superjet 100-95
114,1528,1525,344,Northwood Headquarters,Sukhoi Superjet 100-95
115,1528,1533,344,Northwood Headquarters,Sukhoi Superjet 100-95
116,1528,1540,344,Northwood Headquarters,Sukhoi Superjet 100-95
117,1528,1548,344,Northwood Headquarters,Sukhoi Superjet 100-95
118,1528,1553,344,Northwood Headquarters,Sukhoi Superjet 100-95
119,1528,1523,344,Northwood Headquarters,Sukhoi Superjet 100-95
120,1529,1528,344,Northwood Headquarters,Sukhoi Superjet 100-95
121,1525,1528,344,Northwood Headquarters,Sukhoi Superjet 100-95
122,1533,1528,344,Northwood Headquarters,Sukhoi Superjet 100-95
123,1540,1528,344,Northwood Headquarters,Sukhoi Superjet 100-95
124,1548,1528,344,Northwood Headquarters,Sukhoi Superjet 100-95
125,1553,1528,344,Northwood Headquarters,Sukhoi Superjet 100-95
126,1523,1528,344,Northwood Headquarters,Sukhoi Superjet 100-95
127,1919,1909,106,Universal Airlines,Sukhoi Superjet 100-95
128,605,1981,106,Universal Airlines,Sukhoi Superjet 100-95
129,1909,1919,106,Universal Airlines,Sukhoi Superjet 100-95
130,1976,1981,106,Universal Airlines,Sukhoi Superjet 100-95
131,1981,605,106,Universal Airlines,Sukhoi Superjet 100-95
132,1981,1976,106,Universal Airlines,Sukhoi Superjet 100-95
133,2284,1925,50,Walsten Air Services,Sukhoi Superjet 100-95
134,1003,1925,50,Walsten Air Services,Sukhoi Superjet 100-95
135,1836,1925,50,Walsten Air Services,Sukhoi Superjet 100-95
136,1920,1925,50,Walsten Air Services,Sukhoi Superjet 100-95
137,1925,2284,50,Walsten Air Services,Sukhoi Superjet 100-95
138,1925,1003,50,Walsten Air Services,Sukhoi Superjet 100-95
139,1925,1836,50,Walsten Air Services,Sukhoi Superjet 100-95
140,1925,1920,50,Walsten Air Services,Sukhoi Superjet 100-95
141,90,2745,35,Quebec Government Air Service,Shorts SD.360
142,90,2742,35,Quebec Government Air Service,Shorts SD.360
143,1613,1617,35,Quebec Government Air Service,Shorts SD.360
144,1617,90,35,Quebec Government Air Service,Shorts SD.360
145,2745,90,35,Quebec Government Air Service,Shorts SD.360
146,2742,90,35,Quebec Government Air Service,Shorts SD.360
147,2302,2346,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B;Saab 2000
148,2324,2302,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B;Saab 2000
149,2346,2302,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B;Saab 2000
150,772,770,411,Sky Harbor Air Service,Saab SF340A/B;Embraer EMB 110 Bandeirante
151,772,770,306,Tajikstan,Saab SF340A/B;Embraer EMB 110 Bandeirante
152,1857,2773,281,Spirit of Africa Airlines,Saab SF340A/B;De Havilland Canada DHC-6 Twin Otter
153,2774,1857,281,Spirit of Africa Airlines,Saab SF340A/B;De Havilland Canada DHC-6 Twin Otter
154,2773,1857,281,Spirit of Africa Airlines,Saab SF340A/B;De Havilland Canada DHC-6 Twin Otter
155,2319,2348,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B;De Havilland Canada DHC-6 Twin Otter
156,2348,2319,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B;De Havilland Canada DHC-6 Twin Otter
157,2362,2669,416,South Central Air,Saab SF340A/B
158,2669,2362,416,South Central Air,Saab SF340A/B
159,2322,2344,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B;Fairchild Dornier Do.328
160,2344,2322,162,Servicio Tecnico Aero De Mexico,Saab SF340A/B;Fairchild Dornier Do.328
161,399,407,352,Royal Air Force,Saab SF340A/B
162,407,508,352,Royal Air Force,Saab SF340A/B
